"","Dia","Semana","Mes","Clase","Cantidad_real","Cantidad_Predicha","Grupo_pro"
"1",1,NA,NA,"atropello",109,105,"Diario"
"2",1,NA,NA,"caida_ocupante",112,108,"Diario"
"3",1,NA,NA,"choque",829,811,"Diario"
"4",1,NA,NA,"incendio",119,131,"Diario"
"5",1,NA,NA,"otro",54,35,"Diario"
"6",2,NA,NA,"atropello",118,118,"Diario"
"7",2,NA,NA,"caida_ocupante",105,115,"Diario"
"8",2,NA,NA,"choque",953,911,"Diario"
"9",2,NA,NA,"incendio",146,174,"Diario"
"10",2,NA,NA,"otro",54,48,"Diario"
"11",3,NA,NA,"atropello",129,126,"Diario"
"12",3,NA,NA,"caida_ocupante",129,118,"Diario"
"13",3,NA,NA,"choque",1000,922,"Diario"
"14",3,NA,NA,"incendio",142,123,"Diario"
"15",3,NA,NA,"otro",41,26,"Diario"
"16",4,NA,NA,"atropello",132,105,"Diario"
"17",4,NA,NA,"caida_ocupante",119,137,"Diario"
"18",4,NA,NA,"choque",876,766,"Diario"
"19",4,NA,NA,"incendio",136,148,"Diario"
"20",4,NA,NA,"otro",36,23,"Diario"
"21",5,NA,NA,"atropello",108,107,"Diario"
"22",5,NA,NA,"caida_ocupante",132,114,"Diario"
"23",5,NA,NA,"choque",918,879,"Diario"
"24",5,NA,NA,"incendio",136,106,"Diario"
"25",5,NA,NA,"otro",23,4,"Diario"
"26",6,NA,NA,"atropello",128,104,"Diario"
"27",6,NA,NA,"caida_ocupante",124,156,"Diario"
"28",6,NA,NA,"choque",990,983,"Diario"
"29",6,NA,NA,"incendio",110,116,"Diario"
"30",6,NA,NA,"otro",29,15,"Diario"
"31",7,NA,NA,"atropello",103,96,"Diario"
"32",7,NA,NA,"caida_ocupante",90,95,"Diario"
"33",7,NA,NA,"choque",886,781,"Diario"
"34",7,NA,NA,"incendio",97,109,"Diario"
"35",7,NA,NA,"otro",31,31,"Diario"
"36",8,NA,NA,"atropello",127,120,"Diario"
"37",8,NA,NA,"caida_ocupante",101,115,"Diario"
"38",8,NA,NA,"choque",802,781,"Diario"
"39",8,NA,NA,"incendio",121,131,"Diario"
"40",8,NA,NA,"otro",41,36,"Diario"
"41",9,NA,NA,"atropello",109,80,"Diario"
"42",9,NA,NA,"caida_ocupante",117,141,"Diario"
"43",9,NA,NA,"choque",944,1011,"Diario"
"44",9,NA,NA,"incendio",110,86,"Diario"
"45",9,NA,NA,"otro",42,44,"Diario"
"46",10,NA,NA,"atropello",102,74,"Diario"
"47",10,NA,NA,"caida_ocupante",134,146,"Diario"
"48",10,NA,NA,"choque",959,928,"Diario"
"49",10,NA,NA,"incendio",125,133,"Diario"
"50",10,NA,NA,"otro",32,12,"Diario"
"51",11,NA,NA,"atropello",118,134,"Diario"
"52",11,NA,NA,"caida_ocupante",108,86,"Diario"
"53",11,NA,NA,"choque",909,913,"Diario"
"54",11,NA,NA,"incendio",101,113,"Diario"
"55",11,NA,NA,"otro",27,2,"Diario"
"56",12,NA,NA,"atropello",153,151,"Diario"
"57",12,NA,NA,"caida_ocupante",131,187,"Diario"
"58",12,NA,NA,"choque",952,1131,"Diario"
"59",12,NA,NA,"incendio",147,232,"Diario"
"60",12,NA,NA,"otro",49,56,"Diario"
"61",13,NA,NA,"atropello",122,114,"Diario"
"62",13,NA,NA,"caida_ocupante",130,134,"Diario"
"63",13,NA,NA,"choque",1032,986,"Diario"
"64",13,NA,NA,"incendio",126,124,"Diario"
"65",13,NA,NA,"otro",49,26,"Diario"
"66",14,NA,NA,"atropello",109,129,"Diario"
"67",14,NA,NA,"caida_ocupante",106,109,"Diario"
"68",14,NA,NA,"choque",879,853,"Diario"
"69",14,NA,NA,"incendio",129,132,"Diario"
"70",14,NA,NA,"otro",41,29,"Diario"
"71",15,NA,NA,"atropello",120,116,"Diario"
"72",15,NA,NA,"caida_ocupante",120,93,"Diario"
"73",15,NA,NA,"choque",893,851,"Diario"
"74",15,NA,NA,"incendio",105,123,"Diario"
"75",15,NA,NA,"otro",45,31,"Diario"
"76",16,NA,NA,"atropello",124,99,"Diario"
"77",16,NA,NA,"caida_ocupante",116,88,"Diario"
"78",16,NA,NA,"choque",1007,936,"Diario"
"79",16,NA,NA,"incendio",124,160,"Diario"
"80",16,NA,NA,"otro",30,14,"Diario"
"81",17,NA,NA,"atropello",124,110,"Diario"
"82",17,NA,NA,"caida_ocupante",143,102,"Diario"
"83",17,NA,NA,"choque",1010,941,"Diario"
"84",17,NA,NA,"incendio",110,93,"Diario"
"85",17,NA,NA,"otro",34,16,"Diario"
"86",18,NA,NA,"atropello",130,110,"Diario"
"87",18,NA,NA,"caida_ocupante",109,73,"Diario"
"88",18,NA,NA,"choque",888,768,"Diario"
"89",18,NA,NA,"incendio",109,82,"Diario"
"90",18,NA,NA,"otro",34,19,"Diario"
"91",19,NA,NA,"atropello",134,109,"Diario"
"92",19,NA,NA,"caida_ocupante",112,102,"Diario"
"93",19,NA,NA,"choque",965,906,"Diario"
"94",19,NA,NA,"incendio",110,117,"Diario"
"95",19,NA,NA,"otro",33,10,"Diario"
"96",20,NA,NA,"atropello",103,109,"Diario"
