"","FECHA","CLASE","DIA_NOMBRE","PERIODO","ESPECIAL","ACCIDENTES"
"1",2019-01-01,"ATROPELLO","MARTES",2019,1,10
"2",2019-01-01,"OTRO","MARTES",2019,1,11
"3",2019-01-01,"INCENDIO","MARTES",2019,1,1
"4",2019-01-01,"VOLCAMIENTO","MARTES",2019,1,3
"5",2019-01-01,"CHOQUE","MARTES",2019,1,67
"6",2019-01-01,"CAIDA_OCUPANTE","MARTES",2019,1,9
"7",2019-01-02,"ATROPELLO","MIERCOLES",2019,0,13
"8",2019-01-02,"CAIDA_OCUPANTE","MIERCOLES",2019,0,11
"9",2019-01-02,"CHOQUE","MIERCOLES",2019,0,83
"10",2019-01-02,"INCENDIO","MIERCOLES",2019,0,1
"11",2019-01-02,"OTRO","MIERCOLES",2019,0,13
"12",2019-01-02,"VOLCAMIENTO","MIERCOLES",2019,0,4
"13",2019-01-03,"ATROPELLO","JUEVES",2019,0,12
"14",2019-01-03,"CAIDA_OCUPANTE","JUEVES",2019,0,11
"15",2019-01-03,"CHOQUE","JUEVES",2019,0,83
"16",2019-01-03,"INCENDIO","JUEVES",2019,0,1
"17",2019-01-03,"OTRO","JUEVES",2019,0,13
"18",2019-01-03,"VOLCAMIENTO","JUEVES",2019,0,4
"19",2019-01-04,"ATROPELLO","VIERNES",2019,0,13
"20",2019-01-04,"CAIDA_OCUPANTE","VIERNES",2019,0,11
"21",2019-01-04,"CHOQUE","VIERNES",2019,0,87
"22",2019-01-04,"INCENDIO","VIERNES",2019,0,1
"23",2019-01-04,"OTRO","VIERNES",2019,0,14
"24",2019-01-04,"VOLCAMIENTO","VIERNES",2019,0,4
"25",2019-01-05,"ATROPELLO","SABADO",2019,0,12
"26",2019-01-05,"CAIDA_OCUPANTE","SABADO",2019,0,10
"27",2019-01-05,"CHOQUE","SABADO",2019,0,78
"28",2019-01-05,"INCENDIO","SABADO",2019,0,1
"29",2019-01-05,"OTRO","SABADO",2019,0,13
"30",2019-01-05,"VOLCAMIENTO","SABADO",2019,0,4
"31",2019-01-06,"ATROPELLO","DOMINGO",2019,0,8
"32",2019-01-06,"CAIDA_OCUPANTE","DOMINGO",2019,0,7
"33",2019-01-06,"CHOQUE","DOMINGO",2019,0,52
"34",2019-01-06,"INCENDIO","DOMINGO",2019,0,1
"35",2019-01-06,"OTRO","DOMINGO",2019,0,8
"36",2019-01-07,"OTRO","LUNES",2019,1,10
"37",2019-01-07,"CAIDA_OCUPANTE","LUNES",2019,1,8
"38",2019-01-07,"VOLCAMIENTO","LUNES",2019,1,3
"39",2019-01-07,"CHOQUE","LUNES",2019,1,63
"40",2019-01-07,"INCENDIO","LUNES",2019,1,1
"41",2019-01-07,"ATROPELLO","LUNES",2019,1,9
"42",2019-01-08,"ATROPELLO","MARTES",2019,0,13
"43",2019-01-08,"CAIDA_OCUPANTE","MARTES",2019,0,11
"44",2019-01-08,"CHOQUE","MARTES",2019,0,85
"45",2019-01-08,"INCENDIO","MARTES",2019,0,1
"46",2019-01-08,"OTRO","MARTES",2019,0,14
"47",2019-01-08,"VOLCAMIENTO","MARTES",2019,0,4
"48",2019-01-09,"ATROPELLO","MIERCOLES",2019,0,13
"49",2019-01-09,"CAIDA_OCUPANTE","MIERCOLES",2019,0,11
"50",2019-01-09,"CHOQUE","MIERCOLES",2019,0,83
"51",2019-01-09,"INCENDIO","MIERCOLES",2019,0,1
"52",2019-01-09,"OTRO","MIERCOLES",2019,0,13
"53",2019-01-09,"VOLCAMIENTO","MIERCOLES",2019,0,4
"54",2019-01-10,"ATROPELLO","JUEVES",2019,0,13
"55",2019-01-10,"CAIDA_OCUPANTE","JUEVES",2019,0,11
"56",2019-01-10,"CHOQUE","JUEVES",2019,0,83
"57",2019-01-10,"INCENDIO","JUEVES",2019,0,1
"58",2019-01-10,"OTRO","JUEVES",2019,0,13
"59",2019-01-10,"VOLCAMIENTO","JUEVES",2019,0,4
"60",2019-01-11,"ATROPELLO","VIERNES",2019,0,13
"61",2019-01-11,"CAIDA_OCUPANTE","VIERNES",2019,0,11
"62",2019-01-11,"CHOQUE","VIERNES",2019,0,87
"63",2019-01-11,"INCENDIO","VIERNES",2019,0,1
"64",2019-01-11,"OTRO","VIERNES",2019,0,14
"65",2019-01-11,"VOLCAMIENTO","VIERNES",2019,0,4
"66",2019-01-12,"ATROPELLO","SABADO",2019,0,12
"67",2019-01-12,"CAIDA_OCUPANTE","SABADO",2019,0,10
"68",2019-01-12,"CHOQUE","SABADO",2019,0,78
"69",2019-01-12,"INCENDIO","SABADO",2019,0,1
"70",2019-01-12,"OTRO","SABADO",2019,0,13
"71",2019-01-13,"ATROPELLO","DOMINGO",2019,0,8
"72",2019-01-13,"CAIDA_OCUPANTE","DOMINGO",2019,0,7
"73",2019-01-13,"CHOQUE","DOMINGO",2019,0,52
"74",2019-01-13,"INCENDIO","DOMINGO",2019,0,1
"75",2019-01-13,"OTRO","DOMINGO",2019,0,8
"76",2019-01-13,"VOLCAMIENTO","DOMINGO",2019,0,3
"77",2019-01-14,"ATROPELLO","LUNES",2019,0,12
"78",2019-01-14,"CAIDA_OCUPANTE","LUNES",2019,0,11
"79",2019-01-14,"CHOQUE","LUNES",2019,0,80
"80",2019-01-14,"INCENDIO","LUNES",2019,0,1
"81",2019-01-14,"OTRO","LUNES",2019,0,13
"82",2019-01-14,"VOLCAMIENTO","LUNES",2019,0,4
"83",2019-01-15,"ATROPELLO","MARTES",2019,0,13
"84",2019-01-15,"CAIDA_OCUPANTE","MARTES",2019,0,11
"85",2019-01-15,"CHOQUE","MARTES",2019,0,85
"86",2019-01-15,"INCENDIO","MARTES",2019,0,1
"87",2019-01-15,"OTRO","MARTES",2019,0,14
"88",2019-01-15,"VOLCAMIENTO","MARTES",2019,0,4
"89",2019-01-16,"ATROPELLO","MIERCOLES",2019,0,13
"90",2019-01-16,"CAIDA_OCUPANTE","MIERCOLES",2019,0,11
"91",2019-01-16,"CHOQUE","MIERCOLES",2019,0,83
"92",2019-01-16,"INCENDIO","MIERCOLES",2019,0,1
"93",2019-01-16,"OTRO","MIERCOLES",2019,0,13
"94",2019-01-16,"VOLCAMIENTO","MIERCOLES",2019,0,4
"95",2019-01-17,"ATROPELLO","JUEVES",2019,0,13
"96",2019-01-17,"CAIDA_OCUPANTE","JUEVES",2019,0,11
"97",2019-01-17,"CHOQUE","JUEVES",2019,0,83
"98",2019-01-17,"INCENDIO","JUEVES",2019,0,1
"99",2019-01-17,"OTRO","JUEVES",2019,0,13
"100",2019-01-17,"VOLCAMIENTO","JUEVES",2019,0,4
"101",2019-01-18,"ATROPELLO","VIERNES",2019,0,13
"102",2019-01-18,"CAIDA_OCUPANTE","VIERNES",2019,0,11
"103",2019-01-18,"CHOQUE","VIERNES",2019,0,87
"104",2019-01-18,"INCENDIO","VIERNES",2019,0,1
"105",2019-01-18,"OTRO","VIERNES",2019,0,14
"106",2019-01-18,"VOLCAMIENTO","VIERNES",2019,0,4
"107",2019-01-19,"ATROPELLO","SABADO",2019,0,12
"108",2019-01-19,"CAIDA_OCUPANTE","SABADO",2019,0,10
"109",2019-01-19,"CHOQUE","SABADO",2019,0,78
"110",2019-01-19,"INCENDIO","SABADO",2019,0,1
"111",2019-01-19,"OTRO","SABADO",2019,0,13
"112",2019-01-19,"VOLCAMIENTO","SABADO",2019,0,4
"113",2019-01-20,"ATROPELLO","DOMINGO",2019,0,8
"114",2019-01-20,"CAIDA_OCUPANTE","DOMINGO",2019,0,7
"115",2019-01-20,"CHOQUE","DOMINGO",2019,0,52
"116",2019-01-20,"INCENDIO","DOMINGO",2019,0,1
"117",2019-01-20,"OTRO","DOMINGO",2019,0,8
"118",2019-01-20,"VOLCAMIENTO","DOMINGO",2019,0,3
"119",2019-01-21,"ATROPELLO","LUNES",2019,0,12
"120",2019-01-21,"CAIDA_OCUPANTE","LUNES",2019,0,11
"121",2019-01-21,"CHOQUE","LUNES",2019,0,80
"122",2019-01-21,"INCENDIO","LUNES",2019,0,1
"123",2019-01-21,"OTRO","LUNES",2019,0,13
"124",2019-01-21,"VOLCAMIENTO","LUNES",2019,0,4
"125",2019-01-22,"ATROPELLO","MARTES",2019,0,13
"126",2019-01-22,"CAIDA_OCUPANTE","MARTES",2019,0,11
"127",2019-01-22,"CHOQUE","MARTES",2019,0,86
"128",2019-01-22,"INCENDIO","MARTES",2019,0,1
"129",2019-01-22,"OTRO","MARTES",2019,0,14
"130",2019-01-23,"ATROPELLO","MIERCOLES",2019,0,13
"131",2019-01-23,"CAIDA_OCUPANTE","MIERCOLES",2019,0,11
"132",2019-01-23,"CHOQUE","MIERCOLES",2019,0,83
"133",2019-01-23,"INCENDIO","MIERCOLES",2019,0,1
"134",2019-01-23,"OTRO","MIERCOLES",2019,0,13
"135",2019-01-24,"ATROPELLO","JUEVES",2019,0,13
"136",2019-01-24,"CAIDA_OCUPANTE","JUEVES",2019,0,11
"137",2019-01-24,"CHOQUE","JUEVES",2019,0,83
"138",2019-01-24,"INCENDIO","JUEVES",2019,0,1
"139",2019-01-24,"OTRO","JUEVES",2019,0,13
"140",2019-01-24,"VOLCAMIENTO","JUEVES",2019,0,4
"141",2019-01-25,"ATROPELLO","VIERNES",2019,0,13
"142",2019-01-25,"CAIDA_OCUPANTE","VIERNES",2019,0,11
"143",2019-01-25,"CHOQUE","VIERNES",2019,0,87
"144",2019-01-25,"INCENDIO","VIERNES",2019,0,1
"145",2019-01-25,"OTRO","VIERNES",2019,0,14
"146",2019-01-25,"VOLCAMIENTO","VIERNES",2019,0,4
"147",2019-01-26,"ATROPELLO","SABADO",2019,0,12
"148",2019-01-26,"CAIDA_OCUPANTE","SABADO",2019,0,10
"149",2019-01-26,"CHOQUE","SABADO",2019,0,78
"150",2019-01-26,"INCENDIO","SABADO",2019,0,1
"151",2019-01-26,"OTRO","SABADO",2019,0,13
"152",2019-01-26,"VOLCAMIENTO","SABADO",2019,0,4
"153",2019-01-27,"ATROPELLO","DOMINGO",2019,0,8
"154",2019-01-27,"CAIDA_OCUPANTE","DOMINGO",2019,0,7
"155",2019-01-27,"CHOQUE","DOMINGO",2019,0,53
"156",2019-01-27,"INCENDIO","DOMINGO",2019,0,1
"157",2019-01-27,"OTRO","DOMINGO",2019,0,8
"158",2019-01-27,"VOLCAMIENTO","DOMINGO",2019,0,3
"159",2019-01-28,"ATROPELLO","LUNES",2019,0,12
"160",2019-01-28,"CAIDA_OCUPANTE","LUNES",2019,0,11
"161",2019-01-28,"CHOQUE","LUNES",2019,0,80
"162",2019-01-28,"INCENDIO","LUNES",2019,0,1
"163",2019-01-28,"OTRO","LUNES",2019,0,13
"164",2019-01-29,"ATROPELLO","MARTES",2019,0,13
"165",2019-01-29,"CAIDA_OCUPANTE","MARTES",2019,0,11
"166",2019-01-29,"CHOQUE","MARTES",2019,0,86
"167",2019-01-29,"INCENDIO","MARTES",2019,0,1
"168",2019-01-29,"OTRO","MARTES",2019,0,14
"169",2019-01-30,"ATROPELLO","MIERCOLES",2019,0,13
"170",2019-01-30,"CAIDA_OCUPANTE","MIERCOLES",2019,0,11
"171",2019-01-30,"CHOQUE","MIERCOLES",2019,0,84
"172",2019-01-30,"INCENDIO","MIERCOLES",2019,0,1
"173",2019-01-30,"OTRO","MIERCOLES",2019,0,14
"174",2019-01-30,"VOLCAMIENTO","MIERCOLES",2019,0,4
"175",2019-01-31,"ATROPELLO","JUEVES",2019,0,13
