"","CB","total_accidentes","Acc_Especiales","Acc_Hpico","Acc_Muerto","Grupos"
"1","0101",506,53,160,5,"Grupo 2"
"2","0102",175,18,51,2,"Grupo 5"
"3","0103",463,33,139,1,"Grupo 2"
"4","0104",340,33,106,7,"Grupo 2"
"5","0105",315,21,107,1,"Grupo 2"
"6","0106",363,29,117,3,"Grupo 2"
"7","0107",338,33,112,0,"Grupo 2"
"8","0108",108,12,29,0,"Grupo 5"
"9","0109",83,7,23,2,"Grupo 5"
"10","0110",118,4,39,0,"Grupo 5"
"11","0111",112,18,38,0,"Grupo 5"
"12","0112",105,8,30,1,"Grupo 5"
"13","0201",193,10,57,2,"Grupo 5"
"14","0202",320,25,98,3,"Grupo 2"
"15","0203",92,7,27,2,"Grupo 5"
"16","0204",232,19,74,0,"Grupo 5"
"17","0205",257,15,84,0,"Grupo 5"
"18","0206",243,28,78,6,"Grupo 5"
"19","0207",429,27,135,3,"Grupo 2"
"20","0208",173,15,50,2,"Grupo 5"
"21","0209",342,20,106,0,"Grupo 2"
"22","0210",313,22,104,4,"Grupo 2"
"23","0211",232,21,79,3,"Grupo 5"
"24","0301",559,59,195,2,"Grupo 2"
"25","0302",1115,103,336,15,"Grupo 3"
"26","0303",944,82,282,9,"Grupo 3"
"27","0304",549,32,206,4,"Grupo 2"
"28","0305",479,35,139,3,"Grupo 2"
"29","0306",342,31,112,1,"Grupo 2"
"30","0307",669,49,222,2,"Grupo 2"
"31","0308",877,82,314,7,"Grupo 3"
"32","0309",512,42,170,3,"Grupo 2"
"33","0310",57,4,22,0,"Grupo 5"
"34","0311",97,8,36,1,"Grupo 5"
"35","0312",90,10,29,4,"Grupo 5"
"36","0313",63,8,19,1,"Grupo 5"
"37","0314",36,0,13,1,"Grupo 5"
"38","0315",20,0,7,0,"Grupo 5"
"39","0401",810,67,259,5,"Grupo 3"
"40","0402",1008,69,348,5,"Grupo 3"
"41","0403",358,21,141,3,"Grupo 2"
"42","0404",232,17,78,2,"Grupo 5"
"43","0405",1344,80,483,20,"Grupo 3"
"44","0406",890,55,301,6,"Grupo 3"
"45","0407",1262,88,387,10,"Grupo 3"
"46","0408",952,67,304,7,"Grupo 3"
"47","0409",1150,73,428,11,"Grupo 3"
"48","0410",1211,93,409,7,"Grupo 3"
"49","0411",390,25,121,7,"Grupo 2"
"50","0412",334,27,85,3,"Grupo 2"
"51","0413",373,26,112,2,"Grupo 2"
"52","0414",500,43,167,5,"Grupo 2"
"53","0415",1050,67,358,3,"Grupo 3"
"54","0416",203,21,73,3,"Grupo 5"
"55","0417",366,30,127,1,"Grupo 2"
"56","0501",815,62,274,12,"Grupo 3"
"57","0502",995,79,361,8,"Grupo 3"
"58","0503",357,29,106,1,"Grupo 2"
"59","0504",723,52,246,5,"Grupo 2"
"60","0505",585,44,225,2,"Grupo 2"
"61","0506",129,10,44,1,"Grupo 5"
"62","0507",911,54,359,11,"Grupo 3"
"63","0508",556,33,231,4,"Grupo 2"
"64","0509",1027,72,364,7,"Grupo 3"
"65","0510",972,50,350,5,"Grupo 3"
"66","0511",2590,204,884,17,"Grupo 4"
"67","0512",479,34,166,7,"Grupo 2"
"68","0513",592,37,250,0,"Grupo 2"
